Number,NO2 AQI,NO2 AQI Compare
5790,13.6869200776,12
5791,16.2840270317,10
5792,13.4681204816,3
5793,14.3082446073,12
5794,11.876441869,8
5795,19.823977856,22
5796,22.9614037467,28
5797,17.4973978933,20
5798,19.6402525185,19
5799,17.9567112371,22
5800,20.6807551184,23
5801,19.6861838528,29
5802,18.0134996474,27
5803,19.3295902536,24
5804,16.0543703597,16
5805,20.5538181911,23
5806,21.1049942037,13
5807,16.559615038,11
5808,19.2377275849,21
5809,19.3646645122,24
5810,20.5538181911,17
5811,17.7379116411,16
5812,17.2785982972,17
5813,20.3075083825,25
5814,20.0077031935,11
5815,13.732851412,22
5816,12.916944469,19
5817,17.0030102909,18
5818,17.6001176379,13
5819,18.0026425715,24
5820,17.8297743098,13
5821,12.7791504658,14
5822,16.2380956973,15
5823,13.5599831503,3
5824,12.0142358722,5
5825,13.4221891472,10
5826,16.6406206308,17
5827,17.818917234,22
5828,19.3295902536,19
5829,19.7563323699,25
5830,19.9617718591,17
5831,13.6059144847,5
5832,13.4681204816,12
5833,14.4460386104,22
5834,17.6919803067,20
5835,18.0945052403,20
5836,17.967568313,15
5837,19.5483898497,18
5838,19.4673842568,14
5839,19.8699091904,19
5840,19.6511095943,26
5841,19.9158405248,20
5842,18.9914177762,24
5843,18.9346293659,24
5844,18.853623773,20
5845,14.3541759416,8
5846,14.1704506041,10
5847,13.4572634057,18
5848,17.6293958355,17
5849,13.6518458191,14
5850,12.1520298753,8
5851,13.6059144847,12
5852,13.514051816,14
5853,14.5379012792,12
5854,19.1292117793,17
5855,16.9621399715,21
5856,17.0080713059,21
5857,17.3295906466,19
5858,18.3241619122,17
5859,17.9859894347,14
5860,16.3758897004,11
5861,17.5375331668,18
5862,16.9162086372,19
5863,13.4113320713,9
5864,13.3194694026,12
5865,16.0084390253,15
5866,13.6518458191,6
5867,13.7896398223,3
5868,16.6055463723,10
5869,13.3762578128,11
5870,17.4623236348,16
5871,16.4677523692,8
5872,16.7433403755,8
5873,13.4681204816,6
5874,13.5599831503,2
5875,13.881502491,8
5876,18.261577441,14
5877,18.3700932466,17
5878,20.0536345279,16
5879,17.967568313,13
5880,16.4677523692,3
5881,16.4218210348,7
5882,16.8352030443,6
5883,17.0080713059,18
5884,17.6293958355,12
5885,16.8243459684,13
5886,12.3708294714,10
5887,12.3708294714,7
5888,12.0142358722,3
5889,12.4626921401,3
5890,12.4167608057,11
5891,13.514051816,15
5892,13.514051816,6
5893,13.6977771535,7
5894,14.8594206199,6
5895,13.6059144847,6
5896,13.5599831503,9
5897,15.3997395566,14
5898,17.375521981,21
5899,12.4276178816,16
5900,13.3303264784,7
5901,11.5089911939,3
5902,11.8305105346,4
5903,11.9683045378,6
5904,12.1979612097,4
5905,12.3357552128,5
5906,12.692348812,9
5907,13.3136733417,11
5908,15.0431459574,12
5909,14.1621515123,7
5910,17.4775066797,12
5911,16.042778238,16
5912,13.0138681527,20
5913,13.514051816,8
5914,13.9733651598,3
5915,13.4973986792,4
5916,12.6004861433,3
5917,12.6004861433,5
5918,14.1462334215,9
5919,13.4055360104,7
5920,14.0084394183,7
5921,13.6977771535,5
5922,14.0543707527,8
